description,purchase_price,sold_price,tax,shipping_cost,profit,amount_due_to_customer,net_profit,roi,date_sold,notes
Vintage Realistic CTR-60 Casette Tape,5.00,48.90,3.04,17.49,16.44,0.00,16.44,329,2022-02-21,GW 2/12/22
Justin Boot Wallet,0.00,19.49,1.49,3.48,12.17,0.00,12.17,0,2022-02-23,OS
Salomon Launch Snowboard Boots,10.00,104.60,7.75,14.07,61.47,0.00,61.47,615,2022-02-25,ARC 2/12/22
Vintage Hot Rod Magazine April 1975,0.00,20.00,0.00,3.19,13.89,6.95,6.95,0,2022-02-26,D&M
2 Pack New GE Smart Water Filters,8.00,45.74,3.09,12.94,16.59,0.00,16.95,212,2022-02-26,GW 2/12/22
Collagenesis SKINN 24 Hour Cream,4.00,63.67,3.87,5.72,38.08,0.00,38.08,952,2022-02-26,ARC 2/7/22
The Creature from Jekyll Island Book,0.00,31.95,1.95,4.45,18.05,0.00,18.05,0,2022-03-02,OS
Toroware by Leyse Stock Pot,10.00,71.33,4.48,14.92,28.93,0.00,28.93,289,2022-03-06,GW
SodaStream DS-5001,10.00,53.33,3.33,13.23,20.71,0.00,20.71,207,2022-03-05,ARC
6 Pack WWN Stickers,0.00,15.26,1.29,3.58,7.04,7.40,-0.36,0,2022-03-08,DC
Hot Rod Mag October 1970,0.00,10.49,0.75,3.19,3.91,2.93,0.99,0,2022-03-08,D&M
Chala Giraffe Tote Bag,10.00,41.30,3.84,8.85,9.73,0.00,9.73,97,2022-03-09,GW
Rick Carelli Matchbox Super Truck,0.00,31.49,1.64,8.85,15.30,9.65,5.65,0,2022-03-11,D&M
Whistle Creek Survival Kit,0.00,21.37,1.40,3.58,11.78,0.00,11.78,0,2022-03-11,OS
Cole Haan Air Everett Slip On,10.00,51.94,3.24,9.64,19.62,0.00,19.62,196,2022-03-14,ARC
Vtg Tiara In'l Sweater,6.00,35.81,1.06,11.28,13.30,0.00,13.30,222,2022-03-16,GW
Vtg Acoustic Research Spearker,0.00,1787.21,125.63,117.94,1398.58,0.00,1398.58,0,2022-03-18,OS - TED
3 Vtg Reach Baseballs,0.00,223.57,14.32,8.85,175.95,0.00,175.95,0,2022-03-20,OS - TED
Front Struts PT Cruiser,15.00,69.02,0.00,18.68,24.21,0.00,24.21,161,2022-03-23,ARC
Dale Earnhardt #3 Coca-Cola 1998 Monte Carlo,0.00,22.40,2.53,0.00,13.98,8.99,4.99,0,2022-03-24,D&M
1997 Vintage NASCAR Monopoly,0.00,27.82,2.12,9.95,10.95,6.98,3.98,0,2022-03-23,D&M
Jack Daniels Woodsy Scent Candle,0.00,30.03,1.57,9.64,15.28,15.28,0.00,0,2022-03-24,TK
Pack 2 Bat Boy Heart Stickers,0.00,8.72,0.74,3.48,3.34,20.00,-16.66,0,2022-03-26,DC
Janlynn Needlecraft Wildflowers Butterfly,4.00,16.20,1.20,4.50,4.45,0.00,4.45,111,2022-03-29,ARC
TV Wire Wall Kit Organizer,0.00,15.85,0.90,6.11,6.83,0.00,6.83,0,2022-03-28,OS
Dry Erase Board,0.00,20.25,0.00,5.57,12.19,0.00,12.19,0,2022-03-30,Meg
Panasonic SA-XR50 Receiver,0.00,186.07,12.17,34.57,119.41,0.00,119.41,0,2022-04-04,OS
Vintage Montblanc 300 Fountain Pen,30.00,104.65,13.80,3.86,38.04,0.00,38.04,127,2022-04-06,EBAY
GE Waffle Maker A6G44,5.00,104.65,7.30,28.94,49.29,0.00,49.29,986,2022-04-08,GW
Lenox Wallaby Smithsonian,0.00,22.63,0.85,8.85,9.63,0.00,9.63,0,2022-04-08,OS
Tupperware Canister 809-13,0.00,19.33,0.68,5.96,9.45,0.00,9.45,0,2022-04-15,OS
Time Life Books,0.00,92.31,7.31,18.83,45.24,0.00,45.24,0,2022-04-18,OS
Tweakd Nature Wild Summer,2.00,12.90,0.93,3.87,3.21,0.00,3.21,161,2022-04-19,ARC 2/7/22
AquaCrest Water Filter,0.99,16.26,1.31,3.87,6.53,0.00,6.53,660,2022-04-18,SA 2/3/22
Denver Broncos Coke Bottles,0.00,26.80,11.19,2.10,9.32,5.66,3.66,0,2022-04-24,D&M
Jeff Swindell Sprint Car 1/24,0.00,27.63,1.93,8.24,13.75,7.31,6.45,0,2022-04-27,D&M
Pocket Hose Silver Bullet,0.00,31.75,1.80,9.18,17.04,0.00,17.04,0,2022-04-26,OS
Tweakd Nature Wild Summer,2.00,12.32,0.95,3.81,3.93,0.00,3.93,197,2022-04-27,ARC 2/7/22
Townie Electra Bike,60.00,272.03,22.03,0.00,154.56,0.00,154.56,258,2022-04-28,FB
VANS Sneaker Rainbow Shoes,2.00,28.96,2.21,8.85,12.47,0.00,12.47,624,2022-04-30,SA 2/3/22
Weekly World Newspaper,0.00,22.43,1.27,3.58,14.86,11.00,3.86,0,2022-04-30,DC
Sleepover Party Game,2.50,19.50,1.55,9.77,1.24,0.00,1.24,0,2022-05-05,ARC
Thomas Buechner Paint book,0.00,21.65,1.65,4.45,10.41,0.00,10.41,0,2022-05-06,OS
Zippo Chrome Lighter,0.00,17.63,0.93,3.87,10.41,0.00,10.41,0,2022-05-10,OS
Vintage Folding Mag Rack Nasco,0.00,74.21,4.61,17.49,41.46,0.00,41.46,0,2022-05-12,OS
Kenmore Clean Balgged Vacuum,0.00,201.24,12.02,35.48,117.29,0.00,117.29,0,2022-05-12,OS
HP Calculator,0.00,25.16,1.92,4.50,15.00,0.00,15.00,0,2022-05-13,OS
Kennwood TK140x Receiver,0.00,428.00,28.00,0.00,321.18,0.00,321.18,0,2022-05-14,OS
IT CC+ Cosmetics,0.50,26.74,2.04,3.87,15.14,0.00,17.14,857,2022-05-14,GW 5/11/22
Too Faced Makup,0.50,27.84,2.59,3.87,15.57,0.00,15.57,779,2022-05-14,GW 5/11/22
PerfectDry Hearing Aid Cleaner,0.00,29.32,1.32,4.98,19.20,0.00,19.28,0,2022-05-15,OS
Vtg Aynsley JA Bailey TeaCup Saucer,0.00,599.99,0.00,10.64,447.15,0.00,447.15,0,2022-05-15,OS (Int'l)
Mary IKay Spa Travel Satin Hand Set,0.50,18.92,1.13,3.99,9.66,0.00,9.66,483,2022-05-16,GW 5/11/22
Vtg Thermos Cooler Ice Chest,0.00,90.58,6.42,24.76,43.32,0.00,43.32,0,2022-05-17,OS
Mens Brunomagli Pitto Loafers10.5,0.00,60.58,3.88,9.64,39.49,0.00,39.49,0,2022-05-14,OS
NETGEAR High Speed Cable Modem,10.00,42.35,2.40,3.82,22.02,0.00,22.02,220,2022-05-19,GW 5/11/22
Hammond Organ Bench,0.00,155.48,13.81,21.36,96.30,0.00,96.30,0,2022-05-20,OS
Physicians Formula Eye Remover,1.65,9.73,0.74,3.87,1.22,0.00,1.22,74,2022-05-22,WholeNinjas 5/17/22
Milani Strobelight Sunglow Powder,1.65,9.84,0.85,3.58,1.50,0.00,1.50,91,2022-05-23,WholeNinjas 5/17/22
Clorox Fresh Care Dry Cleaning Kit,2.00,16.49,1.50,8.85,0.57,0.00,0.57,29,2022-05-23,SA 2/3/22
Weekly World Newspaper,0.00,19.28,1.09,3.19,12.47,0.00,12.47,0,2022-05-24,OS
Physicians Formula Lip Gloss,1.65,10.13,0.80,3.42,2.87,0.00,2.87,174,2022-05-24,WholeNinjas 5/17/22
Maybelline NY Cocoa 270 Lipstick,1.65,12.39,0.92,3.37,4.11,0.00,4.11,249,2022-05-25,WholeNinjas 5/17/22
4x Maybelline 345 Lipstick,6.60,22.07,1.35,3.58,6.26,0.00,6.26,95,2022-05-25,WholeNinjas 5/17/22
3x Maybelline 330 Lipstick,4.95,18.61,0.81,3.99,2.65,0.00,2.65,54,2022-05-28,WholeNinjas 5/17/22
Maybelline Fit met 128,1.65,12.76,0.79,3.72,4.92,0.00,4.92,298,2022-05-31,WholeNinjas 5/17/22
Maybelline 275 Lipstick,1.65,10.69,0.70,3.48,2.41,0.00,2.41,146,2022-05-31,WholeNinjas 5/17/22
ONN FHD STreaming Stick,7.60,32.48,2.48,8.85,10.62,0.00,10.62,140,2022-06-02,Liquidation 5/25/22
Physicians Formula Concealer Yellow,1.65,12.88,0.90,3.58,4.67,0.00,4.67,283,2022-06-02,Wholesale Ninja 5/17/22
Maybelline Lipstick Seductress,1.65,10.63,0.67,3.58,3.28,0.00,3.28,199,2022-06-04,Wholesale Ninja 5/17/22
Color Street Snake and Hearts,0.00,15.03,0.74,3.37,10.72,0.00,10.72,0,2022-06-04,OS
Stylus Audio Techina AT-VMN958E,3.80,43.75,3.80,3.48,25.76,0.00,25.76,678,2022-06-07,Liquidation 5/25/22
Microsoft Desktop Keyboard Mouse,3.80,29.99,0.00,8.18,11.47,0.00,11.47,302,2022-06-08,Liquidation 5/25/22
Color Street 1N4,0.00,10.00,0.00,3.72,3.90,0.00,3.90,0,2022-06-10,OS
Inflatable Hunk Drink Holder,1.00,10.73,0.74,3.48,4.05,0.00,4.05,405,2022-06-10,GW 6/1/22
Metropolitan MA Egg Lily Pendant,0.00,39.20,3.20,3.72,23.93,0.00,23.93,0,2022-06-12,OS
Apple USB-C to USB-A,3.80,13.10,1.11,3.48,1.69,0.00,1.69,44,2022-06-12,Liquidation 5/25/22
WWN Newspaper,0.00,25.22,2.03,3.19,16.98,0.00,16.98,0,2022-06-13,OS
Vtg Florsheim Shoe Tree,0.00,32.95,1.20,9.64,16.14,0.00,16.14,0,2022-06-13,OS
Maybelline 340 Mocha Moves Lipstick,1.65,9.73,0.74,3.48,2.51,0.00,2.51,152,2022-06-14,Wholesale Ninja 5/17/22
Lands End Green Cashmere Sweater,0.00,27.24,1.54,4.50,16.16,0.00,16.16,0,2022-06-15,OS
Taperlite Suitcase,0.00,69.92,4.57,20.89,29.62,0.00,29.62,0,2022-06-16,OS
Apple USB-C,3.80,10.59,0.60,3.48,1.27,0.00,1.27,33,2022-06-16,Liquidation 5/25/22
Vtg Caroline Burnett Oil Painting,24.00,225.00,0.00,19.42,153.27,0.00,153.27,639,2022-06-18,ARC 4/29/22
Tiki Head Box Cover Kleenex,0.00,32.60,0.00,10.64,14.34,0.00,14.34,0,2022-06-19,OS
2007 Final Fantasy PSP,1.50,22.45,1.57,3.48,10.61,0.00,10.61,707,2022-06-23,GS 6/17/22
Warhammer PSP Game,1.50,13.03,0.82,3.87,3.83,0.00,3.83,255,2022-06-23,GS 6/17/22
Bat Boy Bandana,0.00,10.81,0.37,3.58,4.31,0.00,4.31,0,2022-06-23,OS
Apple MagSafe 2,3.80,7.90,0.40,3.58,-1.03,0.00,-1.03,-103,2022-06-23,Liquidation 5/25/22
Lands End Yellow Cashmere Sweater,0.00,20.70,0.00,5.72,12.44,0.00,12.44,0,2022-06-25,OS
Lands End Black Cashmere Sweater,0.00,20.90,0.00,5.72,10.53,0.00,10.53,0,2022-06-25,OS
Dog Tug War Red White Blue Toy,4.00,15.89,0.90,4.68,2.70,0.00,2.70,68,2022-06-26,Black Friday
Dog Tug War BBQ Toy,4.00,12.71,0.72,4.83,0.22,0.00,0.22,6,2022-06-26,Black Friday
Molson Beer Goalie Hockey Sign,0.00,265.57,15.62,17.49,203.48,144.47,59.01,0,2022-06-26,Staci/Jeff
idh St Simons Screen Door Hinges,0.00,36.72,2.72,7.78,18.28,18.28,0.00,0,2022-06-27,DCC
Apple USB-C to 3.5 mm Jack Adapter,3.80,17.34,1.34,3.48,6.55,0.00,6.55,172,2022-06-28,Liquidation 5/25/22
Crown Royal Whiskey Cherry,0.00,32.18,2.18,15.08,11.14,0.00,11.14,0,2022-06-28,T&K
PlayerUnknown's BattleGround PS4x2,7.60,44.49,4.59,4.19,23.01,0.00,22.77,300,2022-06-28,Liquidation 5/25/22
1966 A Great Name in Oil Sinclair Book,0.00,21.75,1.80,4.45,10.16,0.00,10.16,0,2022-06-29,OS
Dog Tug O War Toy Summer Bark B Q,4.00,16.04,1.05,3.99,3.37,0.00,3.37,84,2022-06-29,Black Friday
Wholesale Mixed New Lot 48 Makeup,79.20,68.32,0.00,18.33,-43.72,0.00,-43.72,-43,2022-06-30,Wholesale Ninja 5/17/22
Concrete Genie Sony PlayStation PS4,3.80,10.63,0.63,3.48,1.14,0.00,1.14,30,2022-07-02,LQ 5/25/22
Apple USB-C to VGA Cord,3.80,10.65,0.65,3.72,0.90,0.00,1.14,30,2022-07-02,LQ 5/25/22
Concrete Genie Sony PlayStation PS4,3.80,13.66,0.71,3.72,2.12,0.00,2.12,56,2022-07-03,LQ 5/25/22
Jeanne d'Arc Sony PSP 2007,1.50,65.05,6.05,3.48,39.40,0.00,39.40,2627,2022-07-05,GS 6/17
Flexon Eyeglass with Case,0.00,38.11,2.16,6.11,24.97,0.00,24.97,0,2022-07-07,OS (10 Coupon)
Vtg Indy 500 Snapback Hat,2.00,29.31,1.61,3.87,15.08,0.00,15.08,754,2022-07-07,GS 6/17
Concrete Genie Sony PlayStation PS4,3.80,12.44,0.79,3.42,2.70,0.00,2.70,71,2022-07-08,LQ 5/25/22
Dog Tug O War Toy Summer Bark B Q,4.00,13.23,1.23,4.50,0.45,0.00,0.45,11,2022-07-09,BF 5/23/22
Vtg Wooden Shoe Strecther,0.00,31.01,1.26,8.85,14.15,0.00,14.15,0,2022-07-10,OS
Apple USB-C to SD cord,3.80,18.90,0.95,3.58,6.34,0.00,6.34,167,2022-07-10,LQ 5/25/22 (10 Coupon)
Mildand Emergency Radio,2.00,23.68,1.23,8.85,7.01,0.00,7.01,351,2022-07-11,GW 2/3 (10 Coupon)
Fallout 76 PS4 Game,3.80,10.60,0.60,3.58,1.05,0.00,1.05,28,2022-07-12,LQ 5/25/22
Apple OEM A1433 Thunerbolt,3.80,12.63,0.98,3.48,1.94,0.00,1.94,51,2022-07-13,LQ 5/25/22 (10 Coupon)
Bloodstain Nintendo Switch Game,3.80,19.08,1.08,3.58,6.35,0.00,6.35,167,2022-07-18,LQ 5/25/22
Apple OEM A1433 Thunerbolt,3.80,9.92,0.92,3.48,-0.64,0.00,-0.64,-17,2022-07-19,LQ 5/25/22
Zotos AGE Beautiful 4N Dark Brown,0.50,9.62,0.63,3.72,2.47,0.00,2.47,494,2022-07-19,GW 5/11 (10 Coupon)
Tori Richards Hawaiian Shirt,0.00,23.79,1.80,3.37,13.37,0.00,13.37,0,2022-07-22,OS
Apple USB-C to SD cord,3.80,19.03,1.08,3.72,6.17,0.00,6.17,162,2022-07-24,LQ 5/25/22
Death Stranding PS4 Game,3.80,37.60,1.62,3.76,20.30,0.00,20.30,534,2022-07-24,LQ 5/25/22
Wedgwood Heart Trinket,0.00,11.39,0.84,3.88,4.00,0.00,4.00,0,2022-07-26,OS
TomTom One GPS System,20.00,31.87,0.82,16.10,-11.12,0.00,-11.12,-55.6,2022-07-27,GS 5/13
Set 2 LeCreuset #18/20 Oven,0.00,218.13,15.72,22.45,112.18,122.15,-9.97,0,2022-07-27,J&S
Harley Davidson Cafe Las Vegas Hat,2.00,10.55,0.55,3.72,0.73,0.00,0.73,37,2022-07-28,GS 6/17
PS4 Race With Ryan,3.80,12.55,0.90,3.48,2.71,0.00,2.71,71,2022-07-28,LQ 5/25/22
PS4 Race With Ryan,3.80,10.63,0.63,3.42,0.27,0.00,0.27,7,2022-07-29,LQ 5/25/22
Vintage Hamilton Beach Juicer,2.50,39.19,2.56,12.94,16.66,0.00,16.66,666,2022-07-30,GW
SF 49ers Play Football 10 Plush Bulldog,0.50,13.00,0.00,3.99,5.51,0.00,5.51,1102,2022-07-31,GS
Tori Richard Marquises Mens Shirt,0.00,30.94,0.00,3.72,21.32,0.00,21.32,1000,2022-08-04,OS
Alaskan Amber Illuminated Beer Sign,0.00,284.49,21.32,38.72,164.98,143.94,21.04,1000,2022-08-05,J&S
Native Union Belt HDMI Cable,3.80,19.03,1.80,3.81,5.36,0.00,5.36,141,2022-08-05,LQ 5/25/22
Native Union Belt HDMI Cable,3.80,19.43,1.48,3.87,5.94,0.00,5.94,156,2022-08-06,LQ 5/25/22
St. Louis Rams Super Bowl Hat,2.00,12.92,0.67,4.50,2.76,0.00,2.76,138,2022-08-09,GS 6/17
Apple A1464 MD504LL/A MagSafe,3.80,9.62,0.63,3.58,-0.69,0.00,-0.69,0,2022-08-09,LQ 5/25/22
VANS Maroon Shoes,0.00,29.52,1.87,10.64,10.57,0.00,10.57,0,2022-08-11,OS
Vermont Country Store Soap,0.00,30.78,1.08,9.64,16.44,0.00,16.44,1000,2022-08-12,OS
Panasonic KX-TG7871 DECT 6.0,0.00,87.75,6.50,16.52,48.54,0.00,57.32,1000,2022-08-12,OS
Color Street Broadway Glimmer,0.00,10.36,0.37,3.48,4.05,0.00,4.05,1000,2022-08-12,OS
Tori Richard Cotton Honolulu Shirt,0.00,22.97,1.03,4.15,12.71,0.00,12.71,1000,2022-08-12,OS
Build A Bear Lisa Frank Rainbow,0.50,14.96,1.01,5.72,5.81,0.00,5.81,1162,2022-08-13,GS
Color Street Costa Rica,0.00,11.95,1.01,3.42,4.73,0.00,4.73,0,2022-08-17,OS
Starbucks 2007 Floral Flowers Mug,2.00,29.37,1.32,12.29,8.97,0.00,8.97,449,2022-08-17,GW
Apple USB-C to USB-A Adapter,3.80,13.05,1.06,3.72,2.76,0.00,2.76,73,2022-08-18,LQ 5/25/22
Travel Smith Tori Richard Hawaiian,0.00,20.15,1.87,3.16,10.62,0.00,10.62,0,2022-08-18,OS
Vince Camuto Motorcycle Jacket,0.00,107.85,0.00,17.49,67.62,0.00,67.62,0,2022-08-18,OS
Genuine OEM Black & Decker PS140,2.50,26.62,1.97,10.64,8.34,0.00,8.34,334,2022-08-19,GW
Reebok Ridgerider Running Shoes,0.00,47.88,3.13,11.28,23.21,0.00,23.21,0,2022-08-21,OS
Kanani Akina American Girl Doll 2011,0.00,141.27,8.62,8.79,105.33,76.70,28.63,0,2022-08-24,J&S (Shelby)
American Girl Doll Just Like You 2008,0.00,39.22,2.57,12.94,15.25,14.60,0.65,0,2022-08-25,J&S (Shelby
King James Version KJ Holy Bible,0.50,16.00,1.05,4.16,7.79,0.00,7.79,390,2022-08-26,GS
7 Piece Build A Bear Clothes,0.00,30.03,2.88,10.64,11.44,9.54,1.90,0,2022-08-26,J&S (Shelby)
Fallout 76 Bonus Steelbook Videogame,3.80,12.95,0.00,3.88,2.06,0.00,2.06,54,2022-08-26,LQ 5/25/22
SLM Stair Climber Plus Step,5.00,75.08,6.04,23.36,28.44,0.00,28.44,569,2022-08-28,GW
Fallout 76 Bonus Steelbook,3.80,12.95,0.00,3.88,2.06,0.00,2.06,54,2022-08-29,LQ 5/25/22
Weber Grill Poultry Chicken Roaster,2.00,30.07,2.42,12.94,7.63,0.00,7.63,382,2022-08-29,GW
American Girl Lanie 2010 Girl of the Year,0.00,93.93,8.23,9.21,64.08,46.83,17.25,0,2022-08-30,J&S-Allie
Amazon Fire TV 1st Generation,5.00,43.40,3.40,9.94,21.24,0.00,21.24,425,2022-08-30,GS
Patrick Roy Goalie #33 Signed Jersey,0.00,597.75,33.00,23.45,476.44,333.51,142.93,0,2022-09-08,J&S
American Girl Doll Kanani's Aloha Outfit,0.00,42.53,2.78,3.58,29.96,22.29,7.67,0,2022-09-14,J&S - Shelby
American Girl Doll Bitty Baby,0.00,32.76,1.86,10.90,15.14,11.62,3.52,0,2022-09-16,J&S - Allie
Joe Sakic Jersey,0.00,311.70,0.00,11.75,253.21,190.03,63.18,0,2022-09-15,J&S
American Girl Doll Bitty Baby Carrier,0.00,32.58,2.83,11.75,14.18,9.93,4.25,0,2022-09-17,J&S - Allie
American Girl Doll Campfire,0.00,42.05,2.75,4.83,27.49,21.38,6.11,0,2022-09-21,J&S - Allie
American Girl Doll Maryellen 2014,0.00,103.28,8.53,14.58,63.45,49.69,13.77,0,2022-09-21,J&S - Allie
Adam Foote Jersey,0.00,433.34,24.14,9.25,335.08,252.33,82.75,0,2022-09-21,J&S
American Girl Doll Milkshake Set,0.00,20.58,1.33,5.25,11.48,8.04,3.44,0,2022-09-22,J&S - Allie
AVS Black Practice Jersey,0.00,42.96,2.81,10.15,25.06,17.00,8.06,0,2022-09-23,J&S
1997 Casey Cartwheel Cheerleader,0.50,39.36,2.75,12.94,18.62,0.00,18.62,3724,2022-09-03,GS
Apple USB-C to 3.5 mm Jack Adapter,3.80,8.61,0.62,3.48,-0.52,0.00,-0.52,0,2022-09-06,LQ 5/25/22
Apple USB-C to 3.5 mm Jack Adapter,3.80,10.62,0.63,3.72,1.02,0.00,1.02,27,2022-09-12,LQ 5/25/22
Apple USB-C to 3.5 mm Jack Adapter,3.80,10.88,0.89,3.72,0.99,0.00,0.99,26,2022-09-13,LQ 5/25/22
Pure H2O PH21400 Refrigerator Fiter,0.50,16.49,0.60,8.24,5.07,0.00,5.07,1014,2022-09-13,GS
BRUNO MAGLI Praline Mens Shoes,0.00,38.94,2.19,11.20,19.83,0.00,19.83,0,2022-09-14,OS
USB-C to HDMI Cable Black 6',3.80,10.69,0.70,3.72,1.02,0.00,1.02,27,2022-09-16,LQ 5/25/22
Tori Richard Hawaiian Shirt,0.00,29.96,1.96,3.99,20.47,0.00,20.47,0,2022-09-18,OS
Apple USB-C to 3.5 mm Jack Adapter,3.80,10.81,0.82,3.48,0.69,0.00,0.69,18,2022-09-19,LQ 5/25/22
Diaper Dude Camo Bag,9.00,28.91,2.11,9.64,3.55,0.00,4.74,53,2022-09-21,GW
montblanc fountain pen 144 black vintage,162.00,242.55,22.55,7.74,23.76,0.00,23.76,14.67,2022-09-23,ebay
Build A Bear Michelangelo,0.50,22.30,5.30,5.96,7.46,0.00,7.46,1492,2022-09-24,GS
Rand McNally 2023 Map,0.00,33.80,2.36,3.49,20.81,0.00,20.81,0,2022-09-25,OS
Death Stranding Sony PlayStation 4,3.80,13.86,0.91,3.42,3.93,0.00,3.93,103,2022-09-16,LQ 5/25/22
Apple USB-C to 3.5 mm Jack Adapter,3.80,10.71,0.72,3.48,1.25,0.00,1.25,33,2022-09-28,LQ 5/25/22
Vintage KABANA 925 Sterling Silver,0.00,53.07,3.12,3.72,39.72,0.00,39.72,0,2022-09-29,OS
Vintage Polly Pockets,0.50,53.45,3.50,4.16,39.22,0.00,39.22,7844,2022-09-30,GS
Set 2 Annovi Reververi AR Pump,0.00,19.23,1.26,3.98,9.75,0.00,9.75,0,2022-09-30,OS
American Girl Isabelle 2014,0.00,53.86,2.86,8.52,30.97,27.07,3.90,0,2022-10-02,J&S - Allie
Youth Muck Boots,0.00,47.16,2.46,11.97,22.62,20.55,2.07,0,2022-10-03,J&S
1996-1997 AVS White Jersey Team Sign,0.00,944.59,62.40,56.72,657.97,525.76,132.21,0,2022-10-04,J&S
