order_id,listed_price,date_listed,final_value_fee,add_fee
02-09001-43105,107.85,2022-06-06,11.95,10.79
14-09000-55740,26.62,2022-06-05,3.17,0.00
19-09006-00623,47.88,2022-06-02,5.47,4.79
22-09018-59829,141.27,2022-08-23,15.56,2.97
06-09025-10395,39.22,2022-08-22,4.54,3.92
24-09037-88445,16.00,2022-06-22,2.40,0.10
16-09026-23853,30.03,2022-08-24,3.54,1.53
22-09032-74560,12.95,2022-05-31,1.91,1.30
03-09042-22814,75.08,2022-07-22,8.41,3.83
22-09032-74560,12.95,2022-05-31,1.91,1.30
08-09040-10723,30.07,2022-08-18,3.55,1.53
18-09040-65061,93.93,2022-08-23,10.44,1.97
27-09038-68290,43.40,2022-06-16,3.82,0.00
27-09073-04054,597.75,2022-09-08,64.86,0.00
14-09100-78582,42.53,2022-09-13,4.89,1.32
14-09108-34206,32.76,2022-09-13,3.84,1.02
03-09107-33061,311.70,2022-09-08,33.96,12.78
15-09110-83367,32.58,2022-08-24,3.82,0.00
15-09124-54591,42.05,2022-07-27,4.84,2.14
15-09124-00910,103.28,2022-08-24,11.45,5.27
27-09121-76709,433.34,2022-09-08,47.10,17.77
19-09128-99691,20.58,2022-09-22,2.52,0.00
02-09136-99562,42.96,2022-09-22,4.94,0.00
07-09059-97260,39.36,2022-08-24,4.55,0.00
17-09069-27757,8.61,2022-06-06,1.23,0.00
06-09094-74253,10.62,2022-06-06,1.45,0.00
13-09094-75504,10.88,2022-06-06,1.48,0.00
16-09095-45031,16.49,2022-06-22,2.08,0.00
12-09100-77356,38.94,2022-05-25,4.51,1.21
13-09107-70209,10.69,2022-06-07,1.45,0.00
09-09115-95631,29.96,2022-07-22,3.54,0.00
16-09118-65817,10.81,2022-06-06,1.47,0.55
15-09126-05273,28.91,2022-02-16,3.42,1.19
03-09136-66573,242.55,2022-09-23,26.50,0.00
08-09137-80900,22.30,2022-09-13,3.08,0.00
21-09138-35034,33.80,2022-09-22,4.74,2.40
09-09146-72750,13.86,2022-05-31,1.80,0.00
18-09152-48031,10.71,2022-06-06,1.46,0.00
05-09160-67296,53.07,2022-09-29,6.51,0.00
06-09163-68218,53.45,2022-09-30,6.07,0.00
05-09165-86377,19.23,2021-10-25,2.32,1.92
01-09173-19360,53.86,2022-09-27,6.12,5.39
25-09167-31381,47.16,2022-06-28,5.39,4.72
26-09174-43680,944.59,2022-09-12,102.32,65.18
06-09216-16457,230.76,2022-07-27,25.22,0.00
14-09207-44552,29.21,2022-09-27,3.45,2.92
25-09200-30121,70.95,2022-08-24,7.96,7.10
18-09262-65808,54.25,2022-10-15,3.32,2.80
11-09275-49624,28.53,2022-10-25,6.81,5.43
06-09299-00786,83.74,2022-11-02,9.34,4.94
03-09307-42988,129.98,2022-11-03,14.34,13.00
26-09313-35222,280.83,2022-09-08,30.63,28.08
05-09317-32724,153.47,2022-11-03,16.87,15.50
20-09357-46060,31.96,2022-08-22,3.75,3.20
06-09353-81162,120.47,2022-11-10,13.31,0.00
04-09343-39112,35.42,2022-10-06,4.13,3.54
22-09199-27394,61.20,2022-10-06,6.91,6.12
07-09388-42119,115.40,2022-11-10,12.76,11.54
17-09371-56209,89.20,2022-09-12,9.93,6.24
15-09384-96096,369.05,2022-11-03,30.19,0.00
07-09441-97065,38.75,2022-11-28,3.44,0.00
15-09480-26299,135.80,2022-11-10,14.97,13.58
01-09467-81479,34.60,2022-09-13,4.04,0.00
01-09479-99561,12.72,2022-09-13,1.67,1.27
17-09500-25502,21.44,2022-12-13,2.19,2.14
18-09499-42474,26.70,2022-09-22,3.18,2.67
15-09497-22392,82.13,2022-09-12,9.17,8.21
27-09491-53083,21.55,2022-12-13,2.20,0.00
27-09522-36667,45.85,2022-10-13,5.25,4.59
